title,url,matching_questions
Trump hints at Ukraine ceasefire after very good calls with Russia,https://www.youtube.com/watch?v=9cMPtIP1cF4,Will Trump cut Ukraine off from Starlink?
Kevin OLeary: Heres where a Russia-Ukraine peace deal is going,https://www.youtube.com/watch?v=rnOaPIYM73I,Will Trump cut Ukraine off from Starlink?
'BETRAYAL': Schumer faces wrath of AOC after Dems' heated meeting,https://www.youtube.com/watch?v=FSKWDbnsF3Y,Will Trump issue an executive order on March 15?
'BETRAYAL': Schumer faces wrath of AOC after Dems' heated meeting,https://www.youtube.com/watch?v=FSKWDbnsF3Y,Will Trump issue an executive order on March 14?
NEW: Leaked document reveals Putin's long-term plan in Ukraine,https://www.youtube.com/watch?v=5YwPBkgLOWI,Russia x Ukraine Ceasefire by Friday?
NEW: Leaked document reveals Putin's long-term plan in Ukraine,https://www.youtube.com/watch?v=5YwPBkgLOWI,Will Trump cut Ukraine off from Starlink?
Mike Waltz shares what needs to happen to end Russia-Ukraine war,https://www.youtube.com/watch?v=daUuNz0D5o0,Russia x Ukraine Ceasefire by Friday?
Dana Perino: These numbers are telling,https://www.youtube.com/watch?v=t6qGUf8t-AQ,Will Trump pass a border/immigration law in first 100 days?
'COOKING THE BOOKS': ICE reveals bombshell findings on migrant arrests,https://www.youtube.com/watch?v=2yefA0BqOH4,Will Trump pass a border/immigration law in first 100 days?
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Russia x Ukraine Ceasefire by Friday?
BREAKING: Russian forces advance in Ukraine ahead of ceasefire talks,https://www.youtube.com/watch?v=CFeZ3dpnlTY,Will Trump cut Ukraine off from Starlink?
Peter Doocy: The Russians are ready to talk,https://www.youtube.com/watch?v=-_2tO8moB-E,Will Trump cut Ukraine off from Starlink?
"This sanctuary city is harboring 'gangs, cartel members,' warns DHS official",https://www.youtube.com/watch?v=853Mx6ElOkU,Will Trump cut Ukraine off from Starlink?
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be less than 47.0% on March 14?
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 48.0% and 48.4% on March 14?
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 47.0% and 47.4% on March 14?
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be 49.0% or higher on March 14?
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 48.5% and 48.9% on March 14?
Karoline Leavitt: We are on the 10-yard line of peace,https://www.youtube.com/watch?v=qxznsxVbUb0,Will Trump's approval rating be between 47.5% and 47.9% on March 14?
Laura Ingraham: This is good news,https://www.youtube.com/watch?v=y2k5JKP5qgA,Trump speaks to Carney by Friday?
BREAKING: SpaceX rescue mission canceled for time being,https://www.youtube.com/watch?v=cfh8-tzsjvc,Trump speaks to Carney by Friday?
Trump mocks Rosie O'Donnell in meeting with Ireland's PM: 'Better off' not knowing her,https://www.youtube.com/watch?v=4L2K5emEfsQ,"Will Trump say ""Ireland"" 10+ times during his presser with Ireland PM?"
Peter Doocy: Things are changing very quickly,https://www.youtube.com/watch?v=8_B6gV6HEVY,"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?"
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Russia x Ukraine Ceasefire by Friday?
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?"
'UP TO PUTIN': World awaits Russia response after Ukraine agrees to ceasefire,https://www.youtube.com/watch?v=8TTpRLwFy0c,Will Trump cut Ukraine off from Starlink?
